Tick,Pos,Goal,Input,Belief,Confidence,Action,Sparsity
0,1,10,1,1,1,1,0
1,2,10,1,1,1,1,0
2,3,10,1,1,1,1,0
3,3,10,1,0,0,0,0
4,4,10,1,1,1,1,0
5,5,10,1,1,1,1,0
6,6,10,1,1,1,1,0
7,6,10,1,0,0,0,0
8,7,10,1,1,1,1,0
9,8,10,1,1,1,1,0
10,9,10,0,1,1,1,0
11,9,10,0,0,0,0,0
12,10,10,1,1,1,1,0
13,11,10,0,1,1,1,0
14,11,10,-1,0,0,0,0
15,11,10,-1,0,0,0,0
16,10,10,-1,-1,1,-1,0
17,9,10,0,-1,1,-1,0
18,8,10,0,-1,1,-1,0
19,8,10,1,0,0,0,0
20,8,10,0,0,0,0,0
21,8,10,0,0,0,0,0
22,9,10,1,1,1,1,0
23,9,10,1,0,0,0,0
24,10,10,1,1,1,1,0
25,11,10,0,1,1,1,0
26,12,10,0,1,1,1,0
27,12,10,-1,0,0,0,0
28,12,10,0,0,0,0,0
29,11,10,-1,-1,1,-1,0
30,10,10,-1,-1,1,-1,0
31,10,10,0,0,0,0,0
32,10,10,0,0,0,0,0
33,10,10,0,0,0,0,0
34,10,10,0,0,0,0,0
35,10,10,0,0,0,0,0
36,10,10,0,0,0,0,0
37,10,10,0,0,0,0,0
38,10,10,0,0,0,0,0
39,10,10,0,0,0,0,0
40,10,10,0,0,0,0,0
41,10,10,0,0,0,0,0
42,10,10,0,0,0,0,0
43,10,10,0,0,0,0,0
44,10,10,0,0,0,0,0
45,10,10,0,0,0,0,0
46,10,10,0,0,0,0,0
47,10,10,0,0,0,0,0
48,10,10,0,0,0,0,0
49,10,10,0,0,0,0,0
50,10,10,0,0,0,0,0
51,10,10,0,0,0,0,0
52,10,10,0,0,0,0,0
53,10,10,0,0,0,0,0
54,10,10,0,0,0,0,0
55,10,10,0,0,0,0,0
56,10,10,0,0,0,0,0
57,10,10,0,0,0,0,0
58,10,10,0,0,0,0,0
59,10,10,0,0,0,0,0
60,10,10,0,0,0,0,0
61,10,10,0,0,0,0,0
62,10,10,0,0,0,0,0
63,10,10,0,0,0,0,0
64,10,10,0,0,0,0,0
65,10,10,0,0,0,0,0
66,10,10,0,0,0,0,0
67,10,10,0,0,0,0,0
68,10,10,0,0,0,0,0
69,10,10,0,0,0,0,0
70,10,10,0,0,0,0,0
71,10,10,0,0,0,0,0
72,10,10,0,0,0,0,0
73,10,10,0,0,0,0,0
74,10,10,0,0,0,0,0
75,10,10,0,0,0,0,0
76,10,10,0,0,0,0,0
77,10,10,0,0,0,0,0
78,10,10,0,0,0,0,0
79,10,10,0,0,0,0,0
80,10,10,0,0,0,0,0
81,10,10,0,0,0,0,0
82,10,10,0,0,0,0,0
83,10,10,0,0,0,0,0
84,10,10,0,0,0,0,0
85,10,10,0,0,0,0,0
86,10,10,0,0,0,0,0
87,10,10,0,0,0,0,0
88,10,10,0,0,0,0,0
89,10,10,0,0,0,0,0
90,10,10,0,0,0,0,0
91,10,10,0,0,0,0,0
92,10,10,0,0,0,0,0
93,10,10,0,0,0,0,0
94,10,10,0,0,0,0,0
95,10,10,0,0,0,0,0
96,10,10,0,0,0,0,0
97,10,10,0,0,0,0,0
98,10,10,0,0,0,0,0
99,10,10,0,0,0,0,0
